municipality,icao_code,iata_code,coordinates,name,iso_country
Hannover,EDDV,HAJ,"9.685079574580001, 52.461101532",Hannover Airport,DE
Bremen,EDDW,BRE,"8.78666973114, 53.0475006104",Bremen Airport,DE
